name,category,description,price,sku,image_url
SOUTHERN COMFORT (Shot),Liqueur,,150,,,
TALISKER STORM,Whisky,,9000,,,
TANGUARAR LIME,Mixer,,3100,,,
TANGUAREY ID 1LTR,Tequila,,6500,,,
TANGUAREY LDG 1 LTR,Tequila,,5400,,,
TANGUAREY ROYALE,Tequila,,4500,,,
TANGUAREY SEVILLA,Tequila,,4500,,,
TEQUILA ROSE,Liqueur,,2700,,,
TEQUILA ROSSO TOTTS (Shot),Tequila,,150,,,
TUBORG,Beer,,280,,,
TULAMORE DEW,Whisky,,5000,,,
TUSKER,Beer,,250,,,
TUSKER CAN,Beer,,300,,,
TUSKER CIDER 500ML,Cider,,300,,,
TUSKER CIDER 330ML,Cider,,250,,,
TUSKER CIDER CAN,Cider,,300,,,
TUSKER LITE,Beer,,250,,,
TUSKER LITE CAN,Beer,,300,,,
TUSKER MALT,Beer,,250,,,
TUSKER MALT CAN,Beer,,300,,,
TUSKER PREMIUM,Beer,,280,,,
TUSKER NDNIU,Beer,,250,,,
VAT69 ILTR,Whisky,,2500,,,
VAT69 350ML,Whisky,,1350,,,
VAT69 750ML,Whisky,,2500,,,
VAT 69 TOTS (Shot),Whisky,,150,,,
VICEROY 10YRS,Whisky,,4800,,,
VICEROY 350ML,Whisky,,1100,,,
VICEROY 750ML,Whisky,,2250,,,
VICEROY (Shot),Whisky,,200,,,
WATER ILTR,Water,,150,,,
WATER 50ML,Water,,100,,,
WHITECAP LAGER,Beer,,250,,,
WHITECAP CAN,Beer,,300,,,
WHITECAP LIGHT,Beer,,250,,,
WILLIAM LAWSONS ILTR,Whisky,,3300,,,
WILLIAM LAWSONS 750ML,Whisky,,2600,,,
WILLIAMLAWSONS TOTS (Shot),Whisky,,150,,,
WINDHOEK LARGER,Beer,,300,,,
WINDHOEK DRAUGHT,Beer,,300,,,
ZAPPA BLUE,Liqueur,,2500,,,
ZAPPA GREEN,Liqueur,,2500,,,
ZAPPA RED,Liqueur,,2500,,,
ZAPPA BLUE (Shot),Liqueur,,150,,,
ZAPPA GREEN (Shot),Liqueur,,150,,,
ZAPPA RED (Shot),Liqueur,,150,,,
4th STREET RED,Wine,,1550,,,
4th STREET WHITE,Wine,,1550,,,
ASCONI MUSCATO,Wine,,2700,,,
ASCONI PASTROL 750ML,Wine,,2700,,,
BRANCOT ESTATE,Wine,,1500,,,
CAPRICE RED ILTR,Wine,,1300,,,
CAPRICE RED 750ML,Wine,,1200,,,
CAPRICE WHITE ILTR,Wine,,1300,,,
CAPRICE WHITE 750ML,Wine,,1200,,,
CELLAR CASK RED ILTR,Wine,,1300,,,
CELLAR CASK RED 750ML,Wine,,1700,,,
CELLAR CASK WHITE ILTR,Wine,,1500,,,
CELLAR CASK WHITE 750ML,Wine,,1650,,,
DROSTYHOF RED,Wine,,1500,,,
DROSTYHOF WHITE,Wine,,1500,,,
FOUR COUSINS RED 750ML,Wine,,1450,,,
FOUR COUSINS WHITE 750ML,Wine,,1450,,,
FRONTERA RED 750ML,Wine,,1900,,,
FRONTERA WHITE 750ML,Wine,,1900,,,
GATO NEGRO RED 750ML,Wine,,1900,,,
GATO NEGRO WHITE 750ML,Wine,,1900,,,
JACOBS CREET,Wine,,2200,,,
NAMAQUA RED,Wine,,1500,,,
NAMAQYA WHITE,Wine,,1500,,,
NEDERBURG WHITE 750ML,Wine,,3300,,,
NEDERBURG RED 750ML,Wine,,3300,,,
ROBERTSON 1 SLTRS,Wine,,3200,,,
ROBERTSON RED 750 ML,Wine,,2100,,,
ROBERTSON White750ML,Wine,,2100,,,
ROSSO NOBILE RED,Wine,,3000,,,
ROSSO NOBILE WHITE,Wine,,3000,,,
ST CELINE,Wine,,1800,,,
PIERE MARCEL RED 750ML,Wine,,3500,,,
PURE MARCEL WHITE 750ML,Wine,,3500,,,
DOUBLE BLACK (Shot),Whisky,,300,,,
DISPOSABLE VAPES,Smoking,,1200,,,
DUNHILL DOUBLE SWITCH,Cigarettes,,450,,,
DUNHILL SINGLE SWITCH,Cigarettes,,450,,,
EMBASSY,Cigarettes,,450,,,
MATCHBOX,Smoking Accessories,,10,,,
ROTHMANS,Cigarettes,,450,,,
SPORTSMAN,Cigarettes,,450,,,
DUNHILL LIGHT,Cigarettes,,250,,,
LIGHTER,Smoking Accessories,,150,,,
ROTHMANS LIGHT,Cigarettes,,300,,,
VAPERS 9000 PUFFS,Smoking,,2000,,,
VAPES 3000 PUFFS,Smoking,,1800,,,
RECHARGABLE VAPES,Smoking,,2800,,,
CONDOM,Other,,100,,,
GOLD POUCH,Smoking,,700,,,
